Group,Percentage,Section
Group 4,89.1,Section 3
Group 3,91.2,Section 3
Group 2,92.9,Section 2
Group 6,93.5,Section 2
Group 1,54.3,Section 3
Group 6,80.7,Section 3
Group 7,93.6,Section 1
Group 1,91.5,Section 2
Group 8,83.6,Section 2
Group 5,96.0,Section 3
Group 11 ,92.7,Section 3
Group 4,74.9,Section 1
Group 5,90.35,Section 3
Group 8,92.2,Section 3
Group 11 ,86.6,Section 3
Group 9,88.5,Section 3
Group 10,78.45,Section 1
Group 2,78.6,Section 3
Group 6,81.25,Section 1
Group 6,86.6,Section 3
Group 7,85.0,Section 3
Group 2,95.0,Section 3
Group 8,93.6,Section 2
Group 6,93.2,Section 2
Group 5,89.4,Section 3
Group 10,93.5,Section 1
Group 4,89.8,Section 2
Group 7,79.8,Section 1
Group 10,79.8,Section 2
Group 3,79.9,Section 1
Group 1,94.7,Section 2
Group 9,77.95,Section 3
Group 6,90.0,Section 1
Group 10,78.2,Section 2
Group 8,80.45,Section 1
Group 8,84.6,Section 2
Group 3,94.3,Section 3
Group 1,97.2,Section 2
Group 8,95.6,Section 2
Group 6,95.9,Section 3
Group 4,87.5,Section 2
Group 3,86.25,Section 3
Group 9,94.6,Section 1
Group 9,85.0,Section 2
Group 1,85.0,Section 3
Group 7,87.15,Section 3
Group 3,90.1,Section 1
Group 1,97.9,Section 1
Group 5,76.8,Section 2
Group 8,84.1,Section 3
Group 7,91.9,Section 1
Group 2,67.95,Section 1
Group 9,83.4,Section 1
Group 5,95.6,Section 2
Group 1,85.2,Section 1
Group 10,70.4,Section 2
Group 9,93.2,Section 2
Group 1,87.7,Section 1
Group 2,91.3,Section 1
Group 9,75.7,Section 1
Group 5,81.4,Section 2
Group 2,91.9,Section 2
Group 8,71.2,Section 1
Group 5,89.7,Section 1
Group 3,85.6,Section 1
Group 8,90.1,Section 1
Group 7,86.1,Section 3
Group 4,76.9,Section 1
Group 3,81.95,Section 2
Group 4,84.6,Section 2
Group 10,69.1,Section 1
Group 2,92.1,Section 1
Group 8,93.3,Section 3
Group 5,99.2,Section 1
Group 8,74.7,Section 3
Group 4,92.3,Section 2
Group 6,77.9,Section 2
Group 8,73.7,Section 1
Group 2,88.5,Section 3
Group 6,86.7,Section 1
Group 9,82.8,Section 3
Group 9,92.6,Section 2
Group 11 ,91.3,Section 3
Group 4,92.9,Section 1
Group 7,90.2,Section 3
Group 4,85.2,Section 1
Group 3,88.4,Section 2
Group 5,95.3,Section 1
Group 10,84.8,Section 1
Group 1,86.7,Section 2
Group 5,90.6,Section 1
Group 9,95.7,Section 3
Group 4,86.4,Section 3
Group 4,77.5,Section 3
Group 3,57.7,Section 1
Group 1,94.8,Section 1
Group 1,92.7,Section 1
Group 6,91.8,Section 2
Group 10,65.4,Section 3
Group 2,88.5,Section 1
Group 9,95.3,Section 2
Group 5,73.5,Section 3
Group 7,95.3,Section 1
Group 11 ,74.5,Section 3
Group 1,80.2,Section 3
Group 2,80.32608695652175,Section 2
Group 10,70.0,Section 3
Group 3,84.7,Section 3
Group 3,78.04347826086958,Section 2
Group 4,83.4,Section 1
Group 4,94.6,Section 3
Group 1,87.7,Section 3
Group 10,85.3,Section 3
